client_id,path,sentence,up_votes,down_votes,age,gender,accents,variant,locale,segment
1a2cacd4c67ba9001d44e3cf0ec327ab480e79b7ff0fd3bde7aa8d40bedee85df53218d90e194cd62554a01fb42840fd87885ee60b3b00c3b86a961f560bbcfe,common_voice_en_36951323.wav,"Restricted breathing, joint stiffness, and heart disease are also common.",4,0,twenties,male,United States English,,en,
1ee465e99f453ac7b20193d2cb28986bf0d553b2ca6789f25fd2d510c3acdc5f73ea34c56627578c6a0a366e80710d183811abf8498539cf001d090bf8fe199a,common_voice_en_37251984.wav,The German population was either evacuated or expelled and replaced with Russians.,2,0,fourties,female,United States English,,en,
2432927a3acd24b583f0f759819eb4e1b7150bf681b9385c26d0f36d14031ca1f7e8e76bfb5e217d7e7be940bb9aff98906b51bf2949ac1cfc5ca7c113f74794,common_voice_en_37028857.wav,The Church said Sony did not obtain permission to use the interior.,2,0,sixties,female,United States English,,en,
29fef5399682bb15056c08a65f51568736022bec8c0b3d41767f861ba9cc65f211bf647789ec86993ace4e5c5182dd453738a985cb94471317e61228bbdaaec5,common_voice_en_37016755.wav,He then took Lana to Smallville and helped her to re-bury Superman's remains.,2,0,twenties,female,,,en,
3c01e0bbd27524a5e4356331c1fad85504448e64bbe7b6cb330cc27ea5dcbfb11531f5b943b2cbf38ddddb4978edc9dd05a7cc7630204b69d189a8b9851f82ce,common_voice_en_36982320.wav,On-the-spot fines are often threatened through signs on the bins.,2,0,fourties,female,England English,,en,
3f3636095b02b945a2aa44686e0d398be3d9198928a9ef6049b93384148d51843d05ae0391fb35e01fcc69ae33a33b8d456a5ed8bc52ff93475eff2c253d3075,common_voice_en_37020215.wav,"At a dive site, a riskier alternative is in-water recompression.",2,0,twenties,male,,,en,
40ef4ce237bab10c1a1be431df0ae5d39504963073290b5ddd0b2ffe6c8c95cdabf4cc3dbb2b6387d968d3f80a9bbcff94651faf74520e1e6f0ec2cda69f80dc,common_voice_en_37073530.wav,Sayonara Award,2,0,fourties,female,England English,,en,
444f2724cb023cafdcf5d2fb7ce6dc54356b23baaa77046030b534c8fae75f1fdbcd02c8a59953b0f43ba1f34b4aebf91132c9248cb9caf32abc58430ae377a4,common_voice_en_36536123.wav,The pine woods also made the region highly vulnerable to fires.,2,0,fourties,male,Australian English,,en,
4582efb57158aaa19057872880746e2b5b3a733d4886fb9e8b6b2d0c81973d0147cc241aabb8c45b1cca8a7dcc4618737b4c3984bcfc478044f0ee5c9e98db28,common_voice_en_37124212.wav,The Lebanese army was in full control Beirut since the Israeli withdrawal.,2,0,thirties,male,,,en,
49518b0d6dc530fcb03351c761b8b69aba18a29400ec4510ccfc214f1905114cc6fb992128c51bbba73e54db9cb9e534446ebc5f27748ea922d1913e0635ac2e,common_voice_en_37184403.wav,Backstage Assault is vastly different from other games of its genre.,3,0,fourties,male,United States English,,en,
4adbaaab8e28252d2d593d2527af35c4644c83f0c4da06b8f6e5784a28a306fca662967eb2aeb4aba3935ff0db983951901c5a8be9b8bd04b6280d1b9a80a4ba,common_voice_en_36937896.wav,He dwelt on a sacred mountain and acted as adviser to the king.,2,0,twenties,female,,,en,
529956e34d2dfc52f69e64c8a50839de1bf96b4d145cf0adb92a55781438486d79f1f59bae69485a0ea00abd4d9a4bc7353e133c332bdc8f152703fe7fd8f844,common_voice_en_36704921.wav,"The ideal Finnhorse is easy-to-handle, versatile, and combines strength, agility, speed and endurance.",4,0,thirties,male,United States English,,en,
5752ae17b22b15ae835d25e0f8aa45dcad3a85f36b840531cda699e2cbba87ae7fb65079ffe76b67a6e3d36ea45fec955d0d58516a454b4aded5dac62d0acbdc,common_voice_en_37265606.wav,"While he was performing, the rope broke, which led to the scaffolding collapsing.",2,0,twenties,male,"India and South Asia (India, Pakistan, Sri Lanka)",,en,
58296d753b6adba0a32778359366138e075f55fe6f9f07aa87970425a6f9b7b28bbb1d5671101d63935e560525ca686c9e28ea7b24e02cdadd3ebb02b7468824,common_voice_en_36908860.wav,God grant that the wolf may not see our cattle.,2,0,twenties,male,Canadian English,,en,
5a172082d817822346f9c810412397dc7633c04eb53d0aa1af2548859fc62fb8bcf05742d9053e3fab2a7a122f8db5f169c39f7abfd33149696a0aeff448b66a,common_voice_en_36650949.wav,All elected without opposition.,2,0,twenties,male,,,en,
5dc2ed50df3f64d678844635d15809e2f1cc5e1c33210d64d2e5dd8dfa94e99920464198cdbff825c39d806be36de49f222e7690b46550506bde4a9d8840e45a,common_voice_en_36939175.wav,Danielle and Dean live in Worsley and have two children.,2,0,thirties,male,Australian English,,en,
7606c9e1bbfc6ce41565a075ca737ceeeb5037f5a0407f904046eba8e068ed953726ee39fcaddf9789fb2b560e82cd46a31e367cc95e3586ed76e08cd265c190,common_voice_en_36993532.wav,He has qualified for two Olympics.,2,0,teens,male,England English,,en,
7ea68640dae570efa76976d90864d44223881f07d575f12a820eb8398a7ab541be573bd7a9b4a0a7bcaad927d6b0621b5b3b80b4e1eb4bfe434a85493a543a0b,common_voice_en_36741925.wav,His writings have been mostly forgotten today.,2,0,twenties,male,,,en,
863479fa6f8deefd88a0be6158671a7ab7d949fcbab7aed07176b5dd9572ba8ed513c52471eb7f58b3d70a8f7eae6997161d3f7d88db5a967e41a94e6e65993c,common_voice_en_36886328.wav,It had been decided to tap any company for debt.,6,0,thirties,male,"Southern African (South Africa, Zimbabwe, Namibia),United States English",,en,
8991f68f62fd94d348c96e6502bc4f62e24dc2f72a9f40b206acf48c1959f3dd1aba0f083dce6ab1239cba1f5b20b7d200df5d38b44ddf7e0d209cf14dca7294,common_voice_en_37255991.wav,‘Is there anybody in the kitchen?’ Not a soul.,2,0,twenties,male,,,en,
8d9f2fdceb751188db1c6a85d1379ae3fb1e3ccdb56570f6a87045a45dfa756d9546f19d58c81e2cbf569ad7efebbcb5ce64d5c25b637b1fa65a52a8d6aac528,common_voice_en_36982985.wav,Strong southerly winds prevailed in the western half of the belt.,2,0,fifties,male,,,en,
94f07b0e4f7c6c642b7bc9f586339f51f8902f90e4967351bf706d0eaa44f1d2f4b623ca3373251cbdc1c3f1abb8225034ae5f07515eb5a0572b8146e3aacde6,common_voice_en_36938662.wav,In the flashes of lightning they see the fire of the artillery.,2,0,thirties,male,United States English,,en,
9698b39cb85f238f1346eea2dba721e4e8fb440bd4d14b632aef84108f02f47d028463a7076a9eb0333b72fab260a9357f045de63eaaa3c7374ce6a692e081ba,common_voice_en_36803114.wav,"She captained New Zealand in their first women's Test match, which they lost.",2,0,twenties,male,"India and South Asia (India, Pakistan, Sri Lanka)",,en,
9a01525c36f06f7ade9790643b88b299f76e651069eae91862ec3eed95ecace21cba6faef7d6308f2bcea0d5d91ffd53d6d387ed01140321ebe61bfefa65b857,common_voice_en_36993508.wav,"Because the backup was dated, the website was now under construction.",2,0,thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)",,en,
9a5e172df53e007dd9370ea52bc81e8d328a8f28c41f1bfc04d18b495a0082ba9487838db4d8c2e401059076244010c2c4819ebbbaa41fde5543f955c9043995,common_voice_en_36914087.wav,"I must begin clearing at once, or I shall be hanged.",2,0,sixties,male,,,en,
a099efdbd95d0a29a9796009d48122786762afe4311356a682f4d7c221c545c3d5e39cb787933016d79d23ac03a5a100b661f7eb6dc8ada7b17399bc08ecbf84,common_voice_en_37227135.wav,The resulting proof gives an optimal strategy for every possible position on the board.,2,0,thirties,male,,,en,
a98b3d2221f5da827b9e70c0a2a5d8f3a6afd4cbc26def21873aeb35a95f1bb7a80b3e88f6b37181332f9e4522157e404931e55cad1339bacddf6bbad00a3e74,common_voice_en_37110389.wav,The story is set in Viking Age Iceland.,3,0,teens,male,"Northeast US,United States English",,en,
ae42fbe6c3b8aea91ff9de08c6a3bb33bc722b1a2c9263b869d1ccb8b0d8ce3cb4ebe701817707f9e0021090935885187c79d8abb25e518197f60bd7fd10beb3,common_voice_en_36544758.wav,"Firstly, Rich began working on the lyric for ""Run to You"".",2,0,twenties,female,,,en,
b484ee8e6d227b801554408b175c33a0492fa0a0512da09b64c08a0f299465cfe8783e7d5664cd428167078bb99cdda99fd37057f7c16cb6df462c9aad5477a9,common_voice_en_36905371.wav,He has recourse to religion as well as magic.,2,0,thirties,male,United States English,,en,
bbf090e6e283e4e37184a2e8d18c4e8b316a072a5565f942ab1fe209609ce93499859b1bc6b7111be2f33203c2746e5c37c57a3fcff52e9a7f38780d6fc39a26,common_voice_en_36532879.wav,"The county seat was initially located at Reynoldsburg, near the mouth of Dry Creek.",2,0,sixties,male,"India and South Asia (India, Pakistan, Sri Lanka)",,en,
ca8467669c72f9ae4832aaa0679e69049e7af3fb84c2063ff4f897e1a531abbf61211293d5d45efcab175594626a81244e16df92a7f167bc4bf70317addc0e6f,common_voice_en_37262842.wav,He was also involved in Canadian International Development Agency programs to develop fisheries abroard.,2,0,thirties,male,United States English,,en,
cfcceeb236c95b381f274d1a4375ad2ad3cc54129cb70f98644659cb912b089cf33289480a82f0696a4f6cf0d2a64572f21f65a1e98f4085a5682fed86b44cb0,common_voice_en_37234911.wav,Related techniques that also give these zero-drift advantages are auto-zero and chopper-stabilized amplifiers.,2,0,twenties,male,,,en,
e315d6a0031a9543a498a5dc7388a5756cc1e0fb2545b1791a604513673f513f77c8d4dfabe82fe3a2056531f621d3392aaa380c6216932f5e0debd676739b74,common_voice_en_37238327.wav,The practical application of this idea arises in the Williams-Landel-Ferry equation.,2,0,fourties,male,,,en,
e877615b20dcfc0806bb5f9f413162aa02402cde39bf8b0e9e2737ee32c92a80dad62f9ad4ec7d8b99ebe7c58f3c21a98e28555f1912bbbbd04f333a1f76af45,common_voice_en_37209756.wav,"Bisexual doesn't really seem to fit me, and ""lesbian"" doesn't really fit.",4,0,twenties,male,United States English,,en,
f634963107792390248759e11382577588087e949487eea167c36747dc74d6c1a876563158e2c36840bac3232f911edfd4f655b9f94e5fb785f8620852cc6693,common_voice_en_37148438.wav,There is no charge for this service.,2,0,fourties,male,,,en,
f88e7a56251dfe96c044c6e7d21f8914a873f3df5314d95a60bb650f45f927b0a8f897bfb26078620aecf9cb2dcf1f14f157dbeba4297fdd30e19082f49e5663,common_voice_en_36800636.wav,Try not to miss.,2,0,twenties,male,,,en,
fa9784d85f2ec0c7aaf19d0b2113bd0a9ab0df0a23f4e51c9433ff75055d6c10bbb6448eb0a1001417d6077799301201bceff2659f201eec5fb9edc05ec99beb,common_voice_en_37232169.wav,Three knappers used the same direction all the time.,2,0,teens,male,Czech,,en,
022a5041fe8ee69b607d66747842b602c7a884628f4a9b7e6eaa2c8250c4297e213e656762f8c03298daf7075749cf7b58f35769c8246b5da6c68cee5329fdbf,common_voice_en_36905612.wav,The honor of reigning is very frequently rejected in Africa.,4,0,thirties,male,"Kentucky united states accent,southern usa,United States English",,en,
25edbead69d721291bdcd3d04d3f39dc5b6d94cec8e46e0f4ae67f716ab8c7cf3d2d06b1c22bb7ab31fa9de36421959d2a1bdd1d35947efa08c0873168787086,common_voice_en_36998604.wav,Adelaide Metcalfe has Christian adherents whereas does not affiliate with any religion.,2,0,thirties,male,,,en,
29ab137012da6be6c504a89a748b0abf95b491660ee3043476523c7b69a168ada62db1ebc37d3521d73673f323046c0e1fefe7a49da9e6e871bd8c075301e74a,common_voice_en_37118167.wav,"The album title is an expression in Rapanui and means ""white ship"".",2,0,twenties,male,England English,,en,
29ab137012da6be6c504a89a748b0abf95b491660ee3043476523c7b69a168ada62db1ebc37d3521d73673f323046c0e1fefe7a49da9e6e871bd8c075301e74a,common_voice_en_37118169.wav,He was born and raised in New York City.,2,0,twenties,male,England English,,en,
363ad4773202fee00cb4497e93c2f503d47ea9ae1d1fa8e5fc0c5485af4b05a5c155b3c46faf432b4ecec7f8c5a898959b5b1694d05b501648028942d209226b,common_voice_en_36881917.wav,"She is also a progressive political activist, public speaker, and writing teacher.",6,0,twenties,female,"England English,United States English",,en,
363ad4773202fee00cb4497e93c2f503d47ea9ae1d1fa8e5fc0c5485af4b05a5c155b3c46faf432b4ecec7f8c5a898959b5b1694d05b501648028942d209226b,common_voice_en_36881918.wav,"A fibred category together with a cleavage is called a ""cleaved category"".",3,0,twenties,female,"England English,United States English",,en,
377ad8ab666e2540812c4be06300c6fa14d61b57d2533784458b743aa295a6a22c46032ab23ff4d9b38470622249d68128d860900857f10efcf2fcd78c1b58be,common_voice_en_37159307.wav,The Ancients sacrifice themselves in order to destroy the central Master Brain.,2,0,twenties,male,,,en,
377ad8ab666e2540812c4be06300c6fa14d61b57d2533784458b743aa295a6a22c46032ab23ff4d9b38470622249d68128d860900857f10efcf2fcd78c1b58be,common_voice_en_37159309.wav,The three combined routes head east through farms.,2,0,twenties,male,,,en,
